ID,model,N,J,T,P,K,status,runtime,heuristics_time,total_time,gap,objective,nodes,iterations,timelimit,heuristics_limit
1,0,10,10,10,2000,3,OPTIMAL,0.1769468784332275,0.0,0.1769468784332275,0.0,36444.695051643066,3.0,818.0,300,120
1,1,10,10,10,2000,3,OPTIMAL,0.1671149730682373,13.384253978729248,13.551368951797484,0.0,35911.375985536724,3.0,801.0,300,120
1,2,10,10,10,2000,3,OPTIMAL,0.0335571765899658,13.463801622390749,13.497358798980711,0.0,40087.14613012876,1.0,180.0,300,120
2,0,10,10,50,2000,3,OPTIMAL,8.003783226013184,0.0,8.003783226013184,0.0,241394.6988101974,529.0,13860.0,300,120
2,1,10,10,50,2000,3,OPTIMAL,7.685796022415161,75.206871509552,82.89266753196716,0.0,241394.69880830497,697.0,16171.0,300,120
2,2,10,10,50,2000,3,OPTIMAL,0.3248529434204101,79.4025206565857,79.7273736000061,0.0,278035.6553909555,1.0,949.0,300,120
3,0,10,10,100,2000,3,OPTIMAL,9.495909214019775,0.0,9.495909214019775,0.0,455554.4756308757,116.0,14149.0,300,120
3,1,10,10,100,2000,3,OPTIMAL,8.242797136306763,120.11344885826112,128.35624599456787,0.0,454376.3756192885,84.0,13184.0,300,120
3,2,10,10,100,2000,3,OPTIMAL,3.5068881511688232,120.10980582237244,123.61669397354126,0.0,523297.3404721432,57.0,2808.0,300,120
4,0,10,40,10,2000,3,OPTIMAL,1.7467799186706543,0.0,1.7467799186706543,0.0,177181.9066067636,680.0,8368.0,300,120
4,1,10,40,10,2000,3,OPTIMAL,1.818847894668579,18.09103775024414,19.90988564491272,0.0,174314.89051256282,711.0,8419.0,300,120
4,2,10,40,10,2000,3,OPTIMAL,0.7172679901123047,18.21868205070496,18.93595004081726,0.0,177441.8020986938,312.0,6717.0,300,120
5,0,10,40,50,2000,3,TIME_LIMIT,300.0008971691132,0.0,300.0008971691132,inf,inf,12818.0,726254.0,300,120
5,1,10,40,50,2000,3,TIME_LIMIT,300.0010499954224,93.58608412742616,393.5871341228485,0.4798560949448266,1172568.721682202,14789.0,791891.0,300,120
5,2,10,40,50,2000,3,OPTIMAL,22.850368976593018,92.2930645942688,115.14343357086182,0.0,1152306.7958838604,552.0,78036.0,300,120
6,0,10,40,100,2000,3,TIME_LIMIT,300.0079519748688,0.0,300.0079519748688,inf,inf,858.0,282761.0,300,120
6,1,10,40,100,2000,3,TIME_LIMIT,300.00917410850525,120.0876078605652,420.0967819690704,0.8863426212233028,2720840.8975379914,973.0,223359.0,300,120
6,2,10,40,100,2000,3,TIME_LIMIT,300.0610749721527,120.1377339363098,420.1988089084625,0.0544976917915293,2647007.075585589,16.0,132303.0,300,120
7,0,10,80,10,2000,3,TIME_LIMIT,300.0007679462433,0.0,300.0007679462433,2.290689882740074,170379.45143278968,72826.0,3177322.0,300,120
7,1,10,80,10,2000,3,TIME_LIMIT,300.0002100467682,17.72508192062378,317.725291967392,2.2373838177946217,148926.37550338125,77956.0,3212781.0,300,120
7,2,10,80,10,2000,3,OPTIMAL,40.60973596572876,17.693544626235962,58.30328059196472,0.0,141208.48472201778,8033.0,669270.0,300,120
8,0,10,80,50,2000,3,TIME_LIMIT,300.00569701194763,0.0,300.00569701194763,inf,inf,1059.0,462878.0,300,120
8,1,10,80,50,2000,3,TIME_LIMIT,300.0024688243866,113.02632737159728,413.0287961959839,1.032674250927093,1813324.1017701607,1004.0,485693.0,300,120
8,2,10,80,50,2000,3,TIME_LIMIT,300.0476281642914,110.81774306297302,410.8653712272644,0.0321108416724785,1755171.8236892428,389.0,327410.0,300,120
9,0,10,80,100,2000,3,TIME_LIMIT,300.0113568305969,0.0,300.0113568305969,inf,inf,685.0,346955.0,300,120
9,1,10,80,100,2000,3,TIME_LIMIT,300.0149848461151,120.5199739933014,420.5349588394165,1.1766041322745124,4047718.213409774,627.0,347945.0,300,120
9,2,10,80,100,2000,3,TIME_LIMIT,300.1005890369415,120.11863923072816,420.2192282676697,0.9671628544751992,4036648.039581172,1.0,82817.0,300,120
10,0,20,10,10,2000,3,OPTIMAL,0.9289629459381104,0.0,0.9289629459381104,0.0,68834.77296342328,36.0,1471.0,300,120
10,1,20,10,10,2000,3,OPTIMAL,0.9535150527954102,81.40426778793335,82.35778284072876,0.0,68834.772963427,43.0,1489.0,300,120
10,2,20,10,10,2000,3,OPTIMAL,0.0875089168548584,80.84975099563599,80.93725991249084,0.0,69299.84414329752,1.0,65.0,300,120
11,0,20,10,50,2000,3,OPTIMAL,5.758649826049805,0.0,5.758649826049805,0.0,576053.1019720137,3.0,8789.0,300,120
11,1,20,10,50,2000,3,OPTIMAL,5.922538995742798,120.30854916572572,126.2310881614685,0.0,576053.1019720137,3.0,8789.0,300,120
11,2,20,10,50,2000,3,OPTIMAL,0.698275089263916,120.14048719406128,120.8387622833252,0.0,589156.0798920691,1.0,208.0,300,120
12,0,20,10,100,2000,3,OPTIMAL,33.53062200546265,0.0,33.53062200546265,0.0,1299253.7225966454,98.0,16272.0,300,120
12,1,20,10,100,2000,3,OPTIMAL,30.39392900466919,121.76863741874696,152.16256642341614,0.0,1300306.6995930076,66.0,15791.0,300,120
12,2,20,10,100,2000,3,OPTIMAL,1.9258620738983157,121.00494527816772,122.93080735206604,0.0,1388873.3667609096,1.0,684.0,300,120
