ID,model,N,J,T,P,K,status,runtime,heuristics_time,total_time,gap,objective,nodes,iterations,timelimit,heuristics_limit
1,0,10,10,10,2000,3,OPTIMAL,0.0957269668579101,0.0,0.0957269668579101,0.0,11210.52743791486,1.0,49.0,150,60
1,1,10,10,10,2000,3,OPTIMAL,0.1147501468658447,21.776763200759888,21.89151334762573,0.0,11210.52743791486,1.0,49.0,150,60
1,2,10,10,10,2000,3,OPTIMAL,0.0985019207000732,21.776763200759888,21.87526512145996,0.0,11210.527437968878,1.0,77.0,150,60
2,0,10,10,50,2000,3,OPTIMAL,0.3965799808502197,0.0,0.3965799808502197,0.0,67290.96930392925,3.0,418.0,150,60
2,1,10,10,50,2000,3,OPTIMAL,0.4565320014953613,60.00367760658264,60.460209608078,0.0,67290.96930392925,1.0,417.0,150,60
2,2,10,10,50,2000,3,OPTIMAL,0.6469829082489014,60.00367760658264,60.65066051483154,0.0,67290.96930464823,1.0,303.0,150,60
3,0,10,10,100,2000,3,OPTIMAL,7.510324954986572,0.0,7.510324954986572,0.0,65670.04547321424,676.0,15238.0,300,60
3,1,10,10,100,2000,3,OPTIMAL,7.145999193191528,60.16137409210205,67.30737328529358,0.0,65670.04547254369,654.0,14179.0,300,60
3,2,10,10,100,2000,3,OPTIMAL,2.400496006011963,60.16137409210205,62.561870098114014,0.0,65666.55469574407,1.0,3160.0,300,60
4,0,10,40,10,2000,3,TIME_LIMIT,120.01062202453612,0.0,120.01062202453612,0.0659382921573525,76056.0776790902,31214.0,531927.0,120,60
4,1,10,40,10,2000,3,TIME_LIMIT,120.01454901695251,29.686830282211304,149.70137929916382,0.0710323347783253,75675.50504792458,22250.0,362885.0,120,60
4,2,10,40,10,2000,3,OPTIMAL,2.8043999671936035,29.686830282211304,32.49123024940491,8.671049759130762e-05,75442.66677375953,321.0,10621.0,120,60
5,0,10,40,50,2000,3,TIME_LIMIT,120.0203070640564,0.0,120.0203070640564,0.2198893757301084,272371.4174789032,1675.0,102910.0,120,60
5,1,10,40,50,2000,3,TIME_LIMIT,120.02208399772644,60.05725717544556,180.079341173172,0.2253152739201306,272351.4689012924,1105.0,91054.0,120,60
5,2,10,40,50,2000,3,TIME_LIMIT,120.0610899925232,60.05725717544556,180.11834716796875,0.0076375709294696,256403.8000157671,2597.0,349993.0,120,60
6,0,10,40,100,2000,3,TIME_LIMIT,120.01683616638184,0.0,120.01683616638184,inf,inf,669.0,57990.0,120,60
6,1,10,40,100,2000,3,TIME_LIMIT,120.02587294578552,60.3863844871521,180.4122574329376,0.2616433104016554,524336.6003016699,577.0,58792.0,120,60
6,2,10,40,100,2000,3,TIME_LIMIT,120.15281200408936,60.3863844871521,180.53919649124143,0.0199943015002368,476139.9740241822,114.0,62670.0,120,60
7,0,10,80,10,2000,3,TIME_LIMIT,120.00882291793825,0.0,120.00882291793825,0.288615550400932,66220.03419697064,11585.0,348664.0,120,60
7,1,10,80,10,2000,3,TIME_LIMIT,120.0085039138794,33.64890503883362,153.657408952713,0.2681845336335801,65819.67015316349,16152.0,466891.0,120,60
7,2,10,80,10,2000,3,OPTIMAL,6.843981027603149,33.64890503883362,40.49288606643677,0.0,64046.06671280472,687.0,53252.0,120,60
8,0,10,80,50,2000,3,TIME_LIMIT,120.00907588005066,0.0,120.00907588005066,inf,inf,1873.0,108544.0,120,60
8,1,10,80,50,2000,3,TIME_LIMIT,120.01706099510191,60.02886390686035,180.04592490196228,0.7563107082045317,138227.81186821777,1561.0,96288.0,120,60
8,2,10,80,50,2000,3,OPTIMAL,16.364257097244263,60.02886390686035,76.39312100410461,0.0,97626.47666788008,1.0,32817.0,120,60
9,0,10,80,100,2000,3,TIME_LIMIT,120.02357387542725,0.0,120.02357387542725,inf,inf,881.0,62655.0,120,60
9,1,10,80,100,2000,3,TIME_LIMIT,120.02428889274596,60.14024829864502,180.164537191391,1.902203388666866,132035.57918774523,650.0,72258.0,120,60
9,2,10,80,100,2000,3,OPTIMAL,50.19817090034485,60.14024829864502,110.33841919898988,2.043995137662077e-05,72392.2026116196,1.0,84237.0,120,60
10,0,20,10,10,2000,3,OPTIMAL,0.1107821464538574,0.0,0.1107821464538574,0.0,8302.65956174396,1.0,61.0,120,60
10,1,20,10,10,2000,3,OPTIMAL,0.2261679172515869,60.06051063537598,60.28667855262756,0.0,8302.659561740234,1.0,50.0,120,60
10,2,20,10,10,2000,3,OPTIMAL,0.1520488262176513,60.06051063537598,60.21255946159363,0.0,8302.659561564215,1.0,53.0,120,60
11,0,20,10,50,2000,3,OPTIMAL,0.321894884109497,0.0,0.321894884109497,0.0,10608.668467484416,1.0,15.0,120,60
11,1,20,10,50,2000,3,OPTIMAL,0.3535909652709961,60.16178512573242,60.51537609100342,0.0,10608.668467484416,1.0,15.0,120,60
