ID,model,N,J,T,P,K,status,runtime,heuristics_time,total_time,gap,objective,nodes,iterations,timelimit,heuristics_limit
1,1,10,10,10,2000,3,OPTIMAL,0.2150239944458007,13.554679870605469,13.76970386505127,0.0,35911.37598267663,3.0,814.0,300,120
1,2,10,10,10,2000,3,OPTIMAL,0.2061400413513183,13.554679870605469,13.760819911956789,0.0,35911.37598304171,3.0,832.0,300,120
2,1,10,10,50,2000,3,OPTIMAL,30.58266592025757,72.59932851791382,103.1819944381714,2.914816841212525e-05,242035.76386549696,1111.0,32754.0,300,120
2,2,10,10,50,2000,3,OPTIMAL,5.915163993835449,72.59932851791382,78.51449251174927,0.0,239784.1712870635,63.0,8307.0,300,120
3,1,10,10,100,2000,3,OPTIMAL,19.41212487220764,120.16055417060852,139.57267904281616,0.0,454376.3756079488,86.0,19826.0,300,120
3,2,10,10,100,2000,3,OPTIMAL,26.47754001617432,120.16055417060852,146.63809418678284,0.0,454376.3756201156,102.0,18750.0,300,120
4,1,10,40,10,2000,3,TIME_LIMIT,300.0016829967499,17.43902611732483,317.4407091140747,0.1693271406456737,178002.60095728282,80836.0,1449000.0,300,120
4,2,10,40,10,2000,3,OPTIMAL,3.6454169750213614,17.43902611732483,21.08444309234619,0.0,171174.36626158748,624.0,9588.0,300,120
5,1,10,40,50,2000,3,TIME_LIMIT,300.0081739425659,95.6868531703949,395.6950271129608,0.4800148305697683,1168746.5174037628,6337.0,452375.0,300,120
5,2,10,40,50,2000,3,TIME_LIMIT,300.0037398338318,95.6868531703949,395.6905930042267,0.5518413179219087,1168746.5174037628,1788.0,169424.0,300,120
6,1,10,40,100,2000,3,TIME_LIMIT,300.0022120475769,120.12358379364014,420.125795841217,0.8781174731657517,2723354.1634194776,655.0,217210.0,300,120
6,2,10,40,100,2000,3,TIME_LIMIT,300.03965401649475,120.12358379364014,420.1632378101349,1.1402343930900802,2723354.1634194776,231.0,71106.0,300,120
7,1,10,80,10,2000,3,TIME_LIMIT,300.00099420547485,18.278626203536987,318.27962040901184,2.42121654895278,150124.05294985836,34208.0,1493712.0,300,120
7,2,10,80,10,2000,3,TIME_LIMIT,300.0006790161133,18.278626203536987,318.27930521965027,2.484533396201626,150124.05294985836,22890.0,1107922.0,300,120
