ID,model,N,J,T,P,K,status,runtime,heuristics_time,total_time,gap,objective,nodes,iterations,timelimit,heuristics_limit
1,1,10,10,10,2000,3,OPTIMAL,0.33869004249572754,13.013610601425171,13.352300643920898,0.0,37317.376587819774,39.0,1249.0,300,120
1,2,10,10,10,2000,3,OPTIMAL,0.3255341053009033,13.013610601425171,13.339144706726074,0.0,37317.37659367174,39.0,1255.0,300,120
2,1,10,10,50,2000,3,OPTIMAL,17.811542987823486,84.47575163841248,102.28729462623596,0.0,241326.3766199574,656.0,22896.0,300,120
2,2,10,10,50,2000,3,OPTIMAL,34.261584997177124,84.47575163841248,118.7373366355896,0.0,241394.69878637046,847.0,29125.0,300,120
3,1,10,10,100,2000,3,OPTIMAL,19.66225790977478,120.05113101005554,139.71338891983032,0.0,454376.375633914,133.0,16687.0,300,120
3,2,10,10,100,2000,3,OPTIMAL,29.67568302154541,120.05113101005554,149.72681403160095,0.0,454376.37565669045,119.0,18320.0,300,120
4,1,10,40,10,2000,3,TIME_LIMIT,300.00116896629333,20.006949424743652,320.008118391037,0.11687694590412878,172332.1645690957,67220.0,1336062.0,300,120
4,2,10,40,10,2000,3,TIME_LIMIT,300.0018320083618,20.006949424743652,320.00878143310547,0.13907536943863008,173774.3571753241,67249.0,1240640.0,300,120
5,1,10,40,50,2000,3,TIME_LIMIT,300.0049810409546,96.64404225349426,396.64902329444885,0.5032123783536244,1172796.4532705136,6445.0,441287.0,300,120
5,2,10,40,50,2000,3,TIME_LIMIT,300.017343044281,96.64404225349426,396.66138529777527,0.5490667017422669,1177239.1814437546,1778.0,184012.0,300,120
6,1,10,40,100,2000,3,TIME_LIMIT,300.00963616371155,120.23002362251282,420.23965978622437,0.8873519921056032,2698646.5918750316,706.0,245422.0,300,120
6,2,10,40,100,2000,3,TIME_LIMIT,300.021507024765,120.23002362251282,420.25153064727783,1.1410962840999515,2698646.5918750316,206.0,77721.0,300,120
7,1,10,80,10,2000,3,TIME_LIMIT,300.000412940979,18.040517807006836,318.04093074798584,2.6208940970407553,144568.65139022842,34848.0,1416005.0,300,120
7,2,10,80,10,2000,3,TIME_LIMIT,300.0032320022583,18.040517807006836,318.04374980926514,2.6526483754734875,144568.65139022842,20153.0,1114424.0,300,120
8,1,10,80,50,2000,3,TIME_LIMIT,300.0070300102234,112.42192077636719,412.4289507865906,0.9681840007005603,1816109.3881279323,796.0,395757.0,300,120
8,2,10,80,50,2000,3,TIME_LIMIT,300.00342178344727,112.42192077636719,412.42534255981445,1.3930204975510083,1816109.3881279323,530.0,136827.0,300,120
9,1,10,80,100,2000,3,TIME_LIMIT,300.0058879852295,120.11902451515198,420.12491250038147,1.2813057813600592,4035610.141987473,1265.0,231218.0,300,120
9,2,10,80,100,2000,3,TIME_LIMIT,300.0227298736572,120.11902451515198,420.1417543888092,9.249696556719085,4035610.141987473,1.0,155321.0,300,120
10,1,20,10,10,2000,3,OPTIMAL,1.668138027191162,79.79877591133118,81.46691393852234,0.0,68834.77294354886,21.0,1330.0,300,120
10,2,20,10,10,2000,3,OPTIMAL,1.695909023284912,79.79877591133118,81.49468493461609,0.0,68834.77295238525,21.0,1370.0,300,120
11,1,20,10,50,2000,3,OPTIMAL,15.820966005325317,120.30413794517517,136.1251039505005,0.0,528767.3770721257,3.0,8284.0,300,120
11,2,20,10,50,2000,3,OPTIMAL,15.345303058624268,120.30413794517517,135.64944100379944,0.0,527946.4526960403,3.0,8450.0,300,120
12,1,20,10,100,2000,3,OPTIMAL,62.144349098205566,120.79491567611694,182.9392647743225,0.0,1299668.0410106778,44.0,15478.0,300,120
12,2,20,10,100,2000,3,OPTIMAL,63.82454514503479,120.79491567611694,184.61946082115173,0.0,1300071.4906871915,59.0,15044.0,300,120
13,1,20,40,10,2000,3,OPTIMAL,6.8162620067596436,89.75321888923645,96.5694808959961,0.0,345137.6302446723,206.0,7614.0,300,120
13,2,20,40,10,2000,3,OPTIMAL,7.598031997680664,89.75321888923645,97.35125088691711,0.0,351478.4821387008,191.0,7632.0,300,120
14,1,20,40,50,2000,3,TIME_LIMIT,300.04196190834045,120.43904304504395,420.4810049533844,0.13518787823938225,2568460.986486256,1626.0,101307.0,300,120
14,2,20,40,50,2000,3,TIME_LIMIT,300.03602600097656,120.43904304504395,420.4750690460205,0.15641374965440116,2595924.8584985435,1442.0,87845.0,300,120
15,1,20,40,100,2000,3,TIME_LIMIT,300.0880239009857,120.7028546333313,420.790878534317,0.2890253090956734,4605129.013143837,140.0,89025.0,300,120
15,2,20,40,100,2000,3,TIME_LIMIT,300.2357249259949,120.7028546333313,420.9385795593262,4.371959513306517,4605129.013143837,1.0,79941.0,300,120
16,1,20,80,10,2000,3,TIME_LIMIT,300.00436186790466,99.02466225624084,399.0290241241455,0.06590329662593604,569809.1803215742,23020.0,606199.0,300,120
16,2,20,80,10,2000,3,TIME_LIMIT,300.004417181015,99.02466225624084,399.02907943725586,0.08891695148615154,583224.89352002,22246.0,531476.0,300,120
17,1,20,80,50,2000,3,TIME_LIMIT,300.0200779438019,120.34668731689453,420.3667652606964,0.8550543998978145,4973884.655677989,613.0,129361.0,300,120
17,2,20,80,50,2000,3,TIME_LIMIT,300.02262687683105,120.34668731689453,420.3693141937256,1.1446129596665644,4973884.655677989,508.0,79958.0,300,120
19,1,40,10,10,2000,3,OPTIMAL,8.825828075408936,120.22601222991943,129.05184030532837,0.0,175659.62129035592,3.0,2363.0,300,120
19,2,40,10,10,2000,3,OPTIMAL,9.260334968566895,120.22601222991943,129.48634719848633,0.0,175659.6213132441,3.0,2405.0,300,120
20,1,40,10,50,2000,3,OPTIMAL,169.14880514144897,121.96503782272339,291.11384296417236,0.0,522185.88344430923,3.0,15034.0,300,120
20,2,40,10,50,2000,3,OPTIMAL,177.09682393074036,121.96503782272339,299.06186175346375,0.0,522185.88350093365,3.0,15657.0,300,120
22,1,40,40,10,2000,3,OPTIMAL,30.469232082366943,120.54497694969177,151.01420903205872,0.0,677409.0276633501,70.0,10301.0,300,120
22,2,40,40,10,2000,3,OPTIMAL,25.875237941741943,120.54497694969177,146.42021489143372,0.0,677409.0276264846,56.0,9439.0,300,120
25,1,40,80,10,2000,3,TIME_LIMIT,300.04116201400757,120.94990944862366,420.9910714626312,0.015564744210777437,1605940.2751237154,6017.0,151411.0,300,120
25,2,40,80,10,2000,3,TIME_LIMIT,300.0421779155731,120.94990944862366,420.9920873641968,0.02680341661481662,1609241.0966419578,5703.0,154950.0,300,120
