ID, model, N , J , T  , P   , K, status    , runtime             , heuristics_time    , total_time          , gap                   , objective         , nodes  , iterations, timelimit, heuristics_limit
 5,     0, 10, 40,  50, 2000, 3, TIME_LIMIT, 300.00861287117004  ,   0.0              , 300.00861287117004  , inf                   , inf               ,  1971.0,   458055.0,       300,              300
 5,     1, 10, 40,  50, 2000, 3, TIME_LIMIT, 300.00755190849304  , 133.32448315620422 , 433.33203506469727  , 0.7320131018155723    , 533171.5824846001 ,  2284.0,   357647.0,       300,              300
 5,     2, 10, 40,  50, 2000, 3, TIME_LIMIT, 300.0130090713501   , 133.32448315620422 , 433.3374922275543   , 0.4288101824037253    , 533171.5824846001 ,   860.0,   167623.0,       300,              300
 6,     0, 10, 40, 100, 2000, 3, TIME_LIMIT, 300.006982088089    ,   0.0              , 300.006982088089    , inf                   , inf               ,   899.0,   268423.0,       300,              300
 6,     1, 10, 40, 100, 2000, 3, TIME_LIMIT, 300.020222902298    , 237.0764462947845  , 537.0966691970825   , 0.5764091292026151    , 824256.3050526287 ,   851.0,   246485.0,       300,              300
 6,     2, 10, 40, 100, 2000, 3, TIME_LIMIT, 300.1114330291748   , 237.0764462947845  , 537.1878793239594   , 0.801886012534537     , 824256.3050526287 ,   213.0,    68566.0,       300,              300
 7,     0, 10, 80,  10, 2000, 3, TIME_LIMIT, 300.005331993103    ,   0.0              , 300.005331993103    , 0.4728305288460847    , 39657.00503143994 , 34574.0,  1706310.0,       300,              300
 7,     1, 10, 80,  10, 2000, 3, TIME_LIMIT, 300.0048699378968   ,  29.080639123916622, 329.0855090618133   , 0.5624370550436237    , 44081.03777064977 , 35216.0,  1778718.0,       300,              300
 7,     2, 10, 80,  10, 2000, 3, OPTIMAL   ,   6.120919942855835 ,  29.080639123916622,  35.20155906677246  , 0.0                   , 37963.61825200217 ,   630.0,    26315.0,       300,              300
 8,     0, 10, 80,  50, 2000, 3, TIME_LIMIT, 300.00432300567627  ,   0.0              , 300.00432300567627  , inf                   , inf               ,   853.0,   316833.0,       300,              300
 8,     1, 10, 80,  50, 2000, 3, TIME_LIMIT, 300.00733399391174  , 151.34380435943604 , 451.3511383533478   , 1.6706653680016528    , 470895.8705953108 ,  1038.0,   317134.0,       300,              300
 8,     2, 10, 80,  50, 2000, 3, TIME_LIMIT, 300.0197639465332   , 151.34380435943604 , 451.3635683059693   , 0.6373564289539352    , 470895.8705953108 ,   982.0,   110509.0,       300,              300
14,     0, 20, 40,  50, 2000, 3, TIME_LIMIT, 300.0350241661072   ,   0.0              , 300.0350241661072   , 0.081216191483636     , 378422.6591923535 ,  5186.0,   119961.0,       300,              300
14,     1, 20, 40,  50, 2000, 3, OPTIMAL   , 253.71542119979856  , 300.05322647094727 , 553.7686476707458   , 0.0                   , 219627.1154371798 ,  1743.0,    69210.0,       300,              300
14,     2, 20, 40,  50, 2000, 3, OPTIMAL   , 182.3485321998596   , 300.05322647094727 , 482.4017586708069   , 1.8876215347133108e-05, 220136.36348562688,   167.0,   186931.0,       300,              300
15,     0, 20, 40, 100, 2000, 3, TIME_LIMIT, 300.1748218536377   ,   0.0              , 300.1748218536377   , inf                   , inf               ,   241.0,    59127.0,       300,              300
15,     1, 20, 40, 100, 2000, 3, TIME_LIMIT, 300.16687202453613  , 301.5972092151642  , 601.7640812397003   , 2.2032200704072795    , 567033.5390916541 ,   200.0,    58574.0,       300,              300
15,     2, 20, 40, 100, 2000, 3, TIME_LIMIT, 300.299250125885    , 301.5972092151642  , 601.8964593410492   , 2.1925410696147503    , 567033.5390916541 ,    95.0,    57537.0,       300,              300
 1,     0, 10, 10,  10, 2000, 3, OPTIMAL   ,   0.5391209125518799,   0.0              ,   0.5391209125518799, 0.0                   , 22200.585214354564,    31.0,      839.0,       300,              300
 1,     1, 10, 10,  10, 2000, 3, OPTIMAL   ,   0.473099946975708 ,  31.8293092250824  ,  32.302409172058105 , 0.0                   , 22290.4806715888  ,    31.0,      840.0,       300,              300
