ID,model,N,J,T,P,K,status,runtime,heuristics_time,total_time,gap,objective,nodes,iterations,timelimit,heuristics_limit
1,0,10,10,10,1000,3,OPTIMAL,0.2084941864013672,0.0,0.2084941864013672,0.0,3067.0263314733747,3.0,585.0,900,300
1,1,10,10,10,1000,3,OPTIMAL,0.2237040996551513,17.297992944717407,17.52169704437256,0.0,3067.0263314733747,3.0,590.0,900,300
1,2,10,10,10,1000,3,OPTIMAL,0.2426800727844238,17.297992944717407,17.54067301750183,0.0,3067.0263314733747,3.0,590.0,900,300
2,0,10,10,50,1000,3,OPTIMAL,2.429137945175171,0.0,2.429137945175171,0.0,12602.733847212978,3.0,4275.0,300,120
2,1,10,10,50,1000,3,OPTIMAL,2.349806070327759,91.48106932640076,93.83087539672852,0.0,12602.733847212978,3.0,4207.0,300,120
2,2,10,10,50,1000,3,OPTIMAL,2.2352170944213867,91.48106932640076,93.71628642082214,0.0,12602.733847212978,3.0,4207.0,300,120
3,0,10,10,100,1000,3,OPTIMAL,109.72359991073608,0.0,109.72359991073608,0.0,30526.90397081989,1822.0,62872.0,300,120
3,1,10,10,100,1000,3,OPTIMAL,82.27241492271423,120.09737277030943,202.36978769302368,0.0,30526.903972030617,1190.0,47530.0,300,120
3,2,10,10,100,1000,3,OPTIMAL,133.65205192565918,120.09737277030943,253.74942469596863,0.0,30526.903973759152,1767.0,64653.0,300,120
4,0,10,40,10,1000,3,TIME_LIMIT,300.0057978630066,0.0,300.0057978630066,0.244836635465526,49418.39387668192,68355.0,1363292.0,300,120
4,1,10,40,10,1000,3,TIME_LIMIT,300.00391602516174,28.26408863067627,328.268004655838,0.2536200020585483,50271.72986205888,68858.0,1287716.0,300,120
4,2,10,40,10,1000,3,TIME_LIMIT,300.00479912757874,28.26408863067627,328.268887758255,0.2610764678760486,51626.31970560015,55111.0,961899.0,300,120
5,0,10,40,50,1000,3,TIME_LIMIT,300.0105969905853,0.0,300.0105969905853,0.9770402519921132,57075.505210947245,12006.0,352552.0,300,300
5,1,10,40,50,1000,3,TIME_LIMIT,300.00571393966675,107.9711241722107,407.97683811187744,0.9077838262455952,53604.60016745189,11596.0,356043.0,300,300
5,2,10,40,50,1000,3,TIME_LIMIT,300.01259183883667,107.9711241722107,407.98371601104736,0.8409186260575421,53604.60016745189,5706.0,231571.0,300,300
6,0,10,40,100,1000,3,TIME_LIMIT,300.00440192222595,0.0,300.00440192222595,inf,inf,1197.0,269428.0,300,300
6,1,10,40,100,1000,3,TIME_LIMIT,300.00642704963684,221.34741473197937,521.3538417816162,1.1178861824924782,134192.2259336561,1162.0,246015.0,300,300
6,2,10,40,100,1000,3,TIME_LIMIT,300.03353810310364,221.34741473197937,521.380952835083,1.144708461661077,134192.2259336561,552.0,140679.0,300,300
7,0,10,80,10,1000,3,TIME_LIMIT,300.0050551891327,0.0,300.0050551891327,1.4264810171231193,63377.08054318465,18290.0,1309043.0,300,300
7,1,10,80,10,1000,3,TIME_LIMIT,300.00588393211365,30.70258927345276,330.7084732055664,1.6215569918055743,44895.159868410905,10714.0,1262968.0,300,300
7,2,10,80,10,1000,3,TIME_LIMIT,300.005670785904,30.70258927345276,330.7082600593567,1.476884044122898,57674.47820850765,16325.0,1182711.0,300,300
8,0,10,80,50,1000,3,TIME_LIMIT,300.0031409263611,0.0,300.0031409263611,inf,inf,1709.0,467013.0,300,300
8,1,10,80,50,1000,3,TIME_LIMIT,300.0068130493164,126.47444558143616,426.48125863075256,2.0539756632303487,196352.35158307524,1778.0,363331.0,300,300
8,2,10,80,50,1000,3,TIME_LIMIT,300.0260829925537,126.47444558143616,426.50052857398987,2.073980302578585,196352.35158307524,1235.0,153426.0,300,300
9,0,10,80,100,1000,3,TIME_LIMIT,300.01260018348694,0.0,300.01260018348694,inf,inf,849.0,263175.0,300,300
9,1,10,80,100,1000,3,TIME_LIMIT,300.01094698905945,253.9907500743866,554.001697063446,4.2239608162515845,187720.7275195401,1161.0,185621.0,300,300
